hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,reservation_status_date,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,CPI_AVG,INFLATION,CSMR_SENT,GDP,FUEL_PRCS
Resort Hotel,0,342,2015,July,27,1,0,0,2,0,0,BB,PRT,07-01-2015,Direct,Direct,0,0,0,C,C,3,No Deposit,NULL,0,Transient,0,0,0,Check-Out,238,1.80,93,18307,194
Resort Hotel,0,737,2015,July,27,1,0,0,2,0,0,BB,PRT,07-01-2015,Direct,Direct,3,0,0,C,C,4,No Deposit,NULL,0,Transient,0,0,0,Check-Out,238,1.80,93,18307,194
Resort Hotel,0,7,2015,July,27,1,0,1,1,0,0,BB,GBR,07-02-2015,Direct,Direct,0,0,0,A,C,0,No Deposit,NULL,0,Transient,75,0,0,Check-Out,238,1.80,93,18307,194
Resort Hotel,0,13,2015,July,27,1,0,1,1,0,0,BB,GBR,07-02-2015,Corporate,Corporate,0,0,0,A,A,0,No Deposit,304.00,0,Transient,75,0,0,Check-Out,238,1.80,93,18307,194
Resort Hotel,0,14,2015,July,27,1,0,2,2,0,0,BB,GBR,07-03-2015,Online TA,TA/TO,5,0,0,A,A,0,No Deposit,240.00,0,Transient,98,0,1,Check-Out,238,1.80,93,18307,194
Resort Hotel,0,14,2015,July,27,1,0,2,2,0,0,BB,GBR,07-03-2015,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.00,0,Transient,98,0,1,Check-Out,238,1.80,93,18307,194
Resort Hotel,0,129,2015,August,31,1,1,1,2,0,0,BB,PRT,08-03-2015,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,67.00,0,Transient,96.3,0,0,Check-Out,238,1.80,92,18307,189.2
Resort Hotel,1,84,2015,August,31,1,2,1,2,0,0,HB,PRT,05-12-2015,Offline TA/TO,TA/TO,6,0,0,A,A,0,No Deposit,175.00,0,Transient-Party,118.06,0,0,Canceled,237,1.70,91,18194,202.6
Resort Hotel,1,84,2015,August,31,1,2,1,2,0,0,HB,PRT,05-12-2015,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,175.00,0,Transient-Party,118.06,0,0,Canceled,237,1.70,91,18194,202.6
Resort Hotel,1,89,2015,August,31,1,0,1,2,0,0,BB,PRT,05-04-2015,Direct,Direct,0,0,0,D,D,0,No Deposit,NULL,0,Transient,154,0,0,Canceled,237,1.70,91,18194,202.6
Resort Hotel,1,10,2015,August,31,1,0,1,2,0,0,BB,PRT,29-07-2015,Direct,Direct,0,0,0,F,F,0,No Deposit,NULL,0,Transient-Party,202,0,0,Canceled,238,1.80,93,18307,194
Resort Hotel,1,80,2015,August,31,1,0,1,2,0,0,BB,PRT,16-07-2015,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,240.00,0,Transient,134,0,2,Canceled,238,1.80,93,18307,194
Resort Hotel,1,38,2015,September,36,1,0,2,2,1,1,BB,PRT,08-06-2015,Direct,Direct,0,0,0,C,C,0,No Deposit,250.00,0,Transient,123,0,0,Canceled,238,1.80,92,18307,189.2
Resort Hotel,1,47,2015,September,36,1,0,2,2,0,0,BB,PRT,22-07-2015,Online TA,TA/TO,4,0,0,A,A,0,No Deposit,240.00,0,Transient,98,0,1,Canceled,238,1.80,93,18307,194
Resort Hotel,0,48,2015,September,36,1,0,3,2,0,0,HB,PRT,09-04-2015,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.00,0,Transient,151,0,0,Check-Out,237,1.90,87,18307,169.4
Resort Hotel,0,48,2015,September,36,1,0,3,2,0,0,HB,ESP,09-04-2015,Direct,Direct,0,0,0,A,C,0,No Deposit,250.00,0,Transient,134.67,0,1,Check-Out,237,1.90,87,18307,169.4
Resort Hotel,0,27,2015,September,36,1,0,3,2,1,0,HB,PRT,09-04-2015,Direct,Direct,0,0,0,C,C,0,No Deposit,250.00,0,Transient,153,0,2,Check-Out,237,1.90,87,18307,169.4
Resort Hotel,1,71,2015,September,36,1,0,3,2,0,0,HB,PRT,07-06-2015,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.00,0,Transient,137.67,0,1,Canceled,238,1.80,93,18307,194
Resort Hotel,0,0,2015,October,40,1,0,1,3,0,0,BB,LUX,10-02-2015,Online TA,TA/TO,0,0,0,A,G,0,No Deposit,NULL,0,Transient-Party,120,0,2,Check-Out,238,1.90,90,18332,173.5
Resort Hotel,1,63,2015,October,40,1,0,2,2,0,0,BB,PRT,09-08-2015,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.00,0,Transient,68.4,0,2,Canceled,237,1.90,87,18307,169.4
Resort Hotel,0,44,2015,October,40,1,0,3,2,1,0,HB,PRT,10-04-2015,Direct,Direct,9,0,0,D,D,0,No Deposit,NULL,0,Transient,118.5,0,2,Check-Out,238,1.90,90,18332,173.5
Resort Hotel,0,19,2015,October,40,1,0,3,2,0,0,BB,FRA,10-04-2015,Online TA,TA/TO,0,0,0,E,F,0,No Deposit,240.00,0,Transient,87,0,1,Check-Out,238,1.90,90,18332,173.5
Resort Hotel,0,57,2015,October,40,1,0,3,1,0,0,BB,NLD,10-04-2015,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.00,0,Transient,48.3,1,2,Check-Out,238,1.90,90,18332,173.5
